,prompt,answer
2620,เวียดนามมีปัญหาเรื่องการตากข้าวบนถนนเหมือนกับไทยไหม,มี เวียดนามมีปัญหาเรื่องการตากข้าวบนถนนเหมือนกันกับไทย
211,"จงจัดจำแนกข้อความต่อไปนี้ว่าเป็น neutral, negative หรือ positive
ข้อความ: ผมชอบคุณมาก ๆ",positive
32,"เขียนบทความ ""ออมเงินเหรียญในกระปุกแบบไม่ต้องนับทีละเหรียญว่ามีเงินกี่บาท !!!"" ให้หน่อย","สวัสดีนักออมเงินทุกท่าน วันนี้เราขอนำเสนอวิธีการออมเงินเหรียญในกระปุกแบบไม่ต้องนับทีละเหรียญว่ามีเงินกี่บาท สะดวกกว่าเมื่อนำเงินไปฝากธนาคาร
1. เลือกกระปุกให้เก็บเหรียญชนิดเดียวกันเท่านั้น เช่น กระปุกเหรียญ 5 บาท เป็นต้น
2. ชั่วน้ำหนักของกระปุกออกสินแล้วบันทึกไว้ โดย
◦  เหรียญ 1 บาท 1 เหรียญมีน้ำหนัก 3 กรัม
◦ เหรียญ 2 บาท 1 เหรียญมีน้ำหนัก 4.4 กรัม
◦ เหรียญ 5 บาท 1 เหรียญมีน้ำหนัก 7 กรัม
◦ เหรียญ 10 บาท 1 เหรียญมีน้ำหนัก 8.5 กรัม
3. เมื่อต้องการเอาเงินไปฝากเอากระปุกออมสินไปชั่วน้ำหนัก - น้ำหนักของกระปุกออมสิน แล้วเอาน้ำหนักเหรียญไปหารด้วยน้ำหนักของเหรียญนั้น 1 เหรียญ แล้วคูณด้วยค่าของเหรียญ
แค่นี้เราไม่ต้องมานั่งนับทีละเหรียญในกระปุกว่ามีกี่บาทแล้ว :)"
879,สีของเปลวไฟจากธาตุโลหะเกี่ยวข้องกับการเผาไหม้ใช่หรือไม่,ไม่ใช่ สีของเปลวไฟเป็นหนึ่งในสมบัติของธาตุโลหะ
2588,ช่วยคิดเรื่อความฝันตอนนอนสนุก ๆ ให้สักเรื่องหน่อย,ฉันเข้านอนแต่หัวค่ำ แล้วฝัน ฉันเดินไปเดินมาในบ้านหลังหนึ่ง มีแต่พื้นที่ว่างเปล่า ทันใดนั้น เงามืดก็ปรากฏขึ้นมา ฉันสะดุดตื่นขึ้นมา ปรากฏว่าแมวของฉันกระโดดขึ้นมาโดนใบหน้าฉัน
14,"เขียนบทความ ""ภาพเคลื่อนไหวPNG (APNG) ทำไมไม่นิยมใช้กัน""","ภาพเคลื่อนไหว PNG (APNG ย่อมาจาก Animated Portable Network Graphics) มีรูปแบบส่วนขยายของแฟ้มเป็น .png .apng สามารถเคลื่อนไหวได้และเป็นOpen format ครับ โดย APNG นำข้อดีของ PNG มาเพิ่มเติม คือ ทำเป็นภาพเคลื่อนไหวได้ APNG  และสามารถแสดงสีมากกว่า GIF 256 สี เป็นต้น
## ประวัติของ APNG
ถูกสร้างขึ้นในปี 2004 โดย Stuart Parmenter and Vladimir Vukićević ของ บริษัท Mozilla แต่กลุ่ม PNG ได้ปฏิเสธ APNG อย่างเป็นทางการ เป็นส่วนขยายอย่างเป็นทางการเมื่อ 20 เมษายน 2007  มีข้อเสนอมาหลายรูปแบบที่เรียบง่ายกราฟิกเคลื่อนไหวบนพื้นฐานของ PNG ใช้วิธีการที่แตกต่างกัน ต่อมาMozillaได้ปล่อยFirefox รุ่นที่ 3 รองรับ APNG เป็นต้นมาถึงปัจจุบัน ด้วยเหตุนี้ทำให้ตอนนี้มีเพียง Mozilla Firefox ที่รองรับ APNG
## บทวิเคราะห์อนาคต APNG จากทางเว็บ
ปัจจุบันนี้ไม่มีข่าวว่าโปรแกรมท่องอินเทอร์เน็ตของค่ายอื่นๆที่จะรองรับ APNG เพิ่มเลย ดังนั้นในอนาคตอาจไม่มีการนำ APNG ไปใช้งาน เพราะโปรแกรมท่องอินเทอร์เน็ตของค่ายอื่น ๆ ไม่รองรับAPNG และโปรแกรมจำนวนมากไม่สามารถอ่านไฟล์ภาพเคลื่อนไหวได้ ทำให้ APNG อาจตายไปในที่สุดในอนาคต"
93,วิธีที่ดีที่สุดในการทำเสื้อยืดคืออะไร?,วิธีที่ดีที่สุดในการทำเสื้อยืดคือการใช้จักรเย็บผ้า คุณยังสามารถใช้ตะเข็บเซอร์เกอร์หรือโอเวอร์ล็อคเพื่อสร้างเสื้อเชิ้ตที่ดูเรียบร้อยและเป็นมืออาชีพ นอกจากนี้ คุณอาจต้องการพิจารณาเพิ่มการตกแต่งหรือการเย็บตกแต่งรอบๆ คอเสื้อ แขนเสื้อ และชายเสื้อของคุณเพื่อเพิ่มรายละเอียด
2281,มะยงชิดต่างจากมะปรางอย่างไร,"- สีของผล: มะยงชิดสุกแล้วจะมีสีเหลืองอมส้มและมีสีเข้มกว่ามะปราง ขณะที่มะปรางจะมีสีเหลืองอ่อน ๆ
- รสชาติ: มะยงชิดจะมีรสชาติเปรี้ยวอมหวาน หรือ เนื้อหวานที่ติดเปรี้ยวเล็กน้อย ขณะที่มะปรางจะหวานละมุน
- ขนาดเมล็ด: มะยงชิดจะมีขนาดเมล็ดเล็กกว่ามะปราง
- ขนาดผล: ผลของมะยมชิดมีขนาดใหญ่กว่ามะปราง"
2517,"จงเรียงลำดับประสิทธิภาพในการนำไฟฟ้าจากมากไปน้อย ตามวัสดุต่อไปนี้:
อลูมิเนียม ทองแดง เงิน ทองคำ","1. เงิน
2. ทองแดง
3. ทองคำ
4. อลูมิเนียม"
149,เม็กซิโกคืออะไร?,เม็กซิโกเป็นประเทศในทวีปอเมริกาเหนือ
309,"จงเติมคำที่หายไปใน _ ของประโยค ""ผม_ข้าว"" โดยมีตัวเลือกดังนี้ กิน, นอน, เล่น",กิน
785,ดาวเทียมดวงแรกของประเทศไทยคืออะไร?,"ดาวเทียมดวงแรกของประเทศไทยคือ ""ไทยคม 1"""
2025,พญานาคมีจริงไหม,คำถามนี้ยังคงเป็นที่ถกกันในปัจจุบัน มีบันทึกมากมายกล่าวถึงพญานาคแต่ปัจจุบันยังไม่มีการค้นพบพญานาค ดังนั้นยังไม่สามารถสรุปได้ว่าพญานาคมีจริงหรือไม่
2023,มาตรฐาน OpenDocument ดีกว่ามาตรฐาน Office Open XML จากฝั่งไมโครซอฟท์อย่างไร,มาตรฐาน OpenDocument ดีกว่ามาตรฐาน Office Open XML จากฝั่งไมโครซอฟท์โดยเป็นมาตรฐานเปิดที่โปรแกรมแก้ไขเอกสารทุกโปรแกรมในปัจจุบันรองรับ ไม่ได้ขึ้นกับมาตรฐานของบริษัทใด และไม่มีปัญหาเรื่องความเข้ากันได้ต่างรุ่น เช่น หากคุณสร้างเอกสารที่ใช้มาตรฐาน OpenDocument บน LibreOffice Write จะยังสามารถเปิดได้บน Microsoft Word ขณะที่ เอกสาร Office Open XML หากเปิดต่างรุ่นไม่สามารถทำได้ เช่น Microsoft Word 2010 ไม่สามารถเปิดได้บน Microsoft Word 2007 ขณะที่มาตรฐาน OpenDocument ไม่มีปัญหานี้
1670,อักษร只 (zhi1) ในพจนานุกรมจัดเป็นอักษรตัวย่อ (ตัวตัด/ประยุกต์) และมีอักษรตัวเต็มในวงเล็บกำกับไว้ข้างๆแต่ทำไม ถึงนิยมใช้อักษร只 ตัวตัดร่วมกับตัวเต็ม?/ทำไมไม่ใช้อักษรตัวเต็มล่ะคับ?คือเมื่อก่อนเข้าใจว่าเป็นอักษรตัวนี้เป็นอักษรตัวเต็มน่ะครับ แต่พจนานุกรม มีอักษรตัวเต็มในวงเล็บข้างๆกำกับไว้,"อักษรตัวนี้เป็นได้ทั้งตัวย่อและตัวเต็ม เนื่องจากอักษรนี้ 只 (zhi1, zhi3) เคยมีความหมายมาก่อนในแบบตัวเต็ม ในเวลาต่อมาเมื่อมีการย่ออักษร ก็กลายเป็นว่าคำอื่นก็สามารถเขียนให้อยู่ในรูปเดียวกันได้ด้วย ได้แก่ 隻→只 (zhi1) และ 祇→只 (zhi3) นอกจากนั้นบางภาษาที่ใช้อักษรจีน เช่นภาษาไต้หวัน ก็ไม่มีการแบ่งแยกว่าอันไหนตัวเต็มหรือตัวย่อ ขอให้เขียนง่ายก็พอ"
1978,ตัวอักษรไทยถูกประดิษฐ์ขึ้นเมื่อปีใด,ตัวอักษรไทยถูกประดิษฐ์ขึ้นเมื่อปี พ.ศ.1826 หรือ ค.ศ.1283 โดยพ่อขุนรามคำแหงมหาราชเป็นผู้ประดิษฐ์ตัวอักษรไทย
691,"จากข้อความต่อไปให้ตอบคำถามด้วย ใช่/ไม่
ข้อความ: ยาช่วยรักษาโรค
คำถาม: ยาช่วยรักษาโรคใช่หรือไม่",ใช่
423,ถ่ายคลิปตำรวจขณะปฎิบัติหน้าที่มีความผิดหรือไม่,ไม่มีความผิด ตามประมวลกฎหมายอาญา มาตรา 329 การที่ประชาชนบันทึกภาพหรือวิดีโอ ขณะเจ้าหน้าที่ตำรวจทำการตรวจค้น เนื่องจากกลัวว่าจะถูกยัดของกลางนั้นสามารถทำได้ แต่ต้องไม่เป็นการขัดขวางการแฎิบัติงานของเจ้าพนักงาน และหากเจ้าพนักงานกระทำผิดจริงสามารถนำภาพหรือคลิปมาเปิดเผยได้โดยไม่เป็นการหมิ่นประมาท แต่ต้องไม่ทำการดัดแปลงแก้ไขภาพหรือคลิปในลักษณะนำความเท็จมาเผยแพร่
1399,พลังงานดวงอาทิตย์ใช้ประโยชน์อะไรได้บ้าง,สำหรับพลังงานที่ได้จากดวงอาทิตย์ ในแบบที่มนุษย์ใช้ในปัจจุบัน คุณอาจหมายถึงพลังงานแสงอาทิตย์ เนื่องจากการใช้พลังงานแสงอาทิตย์ หรือพลังงานแสงแดดนั้น ยังอาจใช้เป็นพลังงานความร้อนโดยตรง เช่น มีผู้นำไปประยุกต์ใช้ในการทำอาหาร ก่อไฟ และอื่นๆ โดยใช้หลักการรวบรวมแสง หรือคลื่นความร้อน ฯลฯ
1744,ถ้าเกิดว่าผู้หญิงมีกรุ๊ปเลือดเป็น O แล้วแต่งานกับชายกรุ๊บเลือด AB ลูกจะมีโอกาสเป็นกรุ๊ปเลือดอะไรได้บ้าง,ลูกจะมีโอกาสเป็นกรุ๊ป A กับ B ในอัตราส่วน 1 : 1
2907,จงตัดคำด้วยเครื่องหมาย | ในข้อความต่อไปนี้: คอมพิวเตอร์กำลังประมวลผลข้อมูลขนาดใหญ่อยู่,ตัดคำด้วยเครื่องหมาย | ได้ดังนี้: คอมพิวเตอร์|กำลัง|ประมวลผล|ข้อมูล|ขนาด|ใหญ่|อยู่
1566,ตำแหน่งที่ตั้งของลอนดอนพิกัดภูมิศาสตร์คืออะไร,"ใช้พิกัดภูมิศาสตร์ที่ 51°30'28"" เหนือ 00°07'41"" ตะวันตก "
680,"จากข้อความต่อไปให้ตอบคำถามด้วย ใช่/ไม่
ข้อความ: บัวอยู่ในสระน้ำ
คำถาม: บัวอยู่ในสระน้ำใช่หรือไม่",ใช่
1351,ทำไมพวกเราไม่ต่อต้านนักการเมืองที่โกงงบประมาณของประเทศ เพื่อมิให้นักการเมืองขี้ฉ้อทั้งหลายโกงงบประมาณของแผ่นดินแม้แต่บาท,เรื่องนี้คงต้องขึ้นกับจิตสำนึกของประชาชนอีกทั้งยังมีนักการเมืองหลายท่าน ที่เป็นที่รักและเทิดทูนของประชาชนกลุ่มใหญ่ จึงไม่ใช่เรื่องง่ายที่จะต่อต้าน ส่วนที่ว่า แม้แต่บาทเดียว นั้น ละเอียดเกินไป มันมีช่องโหว่ในทุก ๆ ที่ บางนิตยสารมีกล่าวถึงว่า แม้แต่ในสหราชอาณาจักร ก็ยังมีการแฉว่านักการเมืองที่นั่น เบิกเงินค่าต่างๆจิปาถะ (สำหรับใช้เป็นการส่วนตัว) ซึ่งอาจไม่เหมาะสม นอกจากนี้ หลาย ๆ โครงการที่เกิดความล่าช้า ประชาชนเกิดความไม่พอใจที่ต้องรอนานเกินไปมาก ส่วนหนึ่งก็เนื่องมาจากระเบียบราชการ ที่ป้องกันการทุจริต ต้องผ่านขั้นตอนโน้นนี้เยอะแยะ หรือเกิดจากการกลัวการทุจริต ทำให้ต้องตรวจสอบหลายขั้นตอน หรือถูกกล่าวหาโดยฝ่ายตรงข้าม (บางครั้งอาจจะไม่ได้คอรัปชั่นกันจริง แต่ถูกให้ร้าย ก็มีเช่นกัน)
2302,หลักกิโลเมตรใช้ทำอะไร,เป็นตัวบอกระยะทางของจุดหมายปลายทางที่เราจะไป ว่ามีระยะทางเท่าไรอีกกี่กิโลเมตรจึงจะถึงจุดหมาย และยังบอกตำแหน่งว่าเรากำลังอยู่ที่ไหนด้วย
554,น้ำท่วมใหญ่ 2554 เกิดจากอะไร,เกิดขึ้นจากพายุโซนร้อนกำลังแรงนกเต็นขึ้นฝั่งทางตอนเหนือของเวียดนาม ทำให้เกิดฝนตกหนักทางภาคเหนือกับภาคะวันออกเฉียงเหนือของประเทศไทย หลังฝนตกหนักทำให้น้ำไหลไปลงแม่น้ำเจ้าพระยาจำนวนมากจากแม่น้ำสาขา ส่งผลให้น้ำเริ่มเต็มปริมาณความจุของเขื่อนจึงต้องเร่งระบายน้ำออกส่งผลให้พื้นที่ริมแม่น้ำเจ้าพระยามีน้ำท่วมรวมถึงกรุงเทพมหานคร และหลายจังหวัดทั่วประเทศเกิดน้ำท่วมหนัก
3015,"จงตอบคำถามต่อไปนี้เป็นภาษาอังกฤษเท่านั้น:
ความแตกต่างระหว่าง Mac กับ Windows คืออะไร","Mac is exclusive to Apple computers, while Windows runs on a wide range of PCs and laptops. Mac has a simpler design and interface, while Windows is more diverse and customizable. Mac is less vulnerable to viruses and malware, while Windows is more often the target of attacks."
2914,จงแต่งประโยคตามไวยากรณ์นี้มา 1 ประโยค: ประธาน กิริยา,แต่งประโยคตามไวยากรณ์ ประธาน กิริยา ได้ดังนี้: เต่า คลาน
2639,ชาวเลอยู่ที่ไหน,ชาวเลเป็นกลุ่มชาติพันธุ์ที่อยู่ทางใต้ของไทยและในประเทศเพื่อนบ้านอย่างเมียนมา
188,มีวิธีหาอายุของวัตถุโบราณหรือของโบราณโดยไม่ให้เกิดความเสียหายไหม?,คุณสามารถใช้วิธีหาอายุจากคาร์บอนกัมมันตรังสีเพื่อหาอายุของวัตถุโบราณหรือของโบราณโดยไม่ให้เกิดความเสียหายได้
1159,โลกเกิดมาเพราะเหตุใด,โลกเกิดจากการรวมตัวของอนุภาคและสิ่งแรกที่เกิดครั้งแรกคือภูเขาไฟเมื่อภูเขาไฟเย็นตัวลงจะก่อเกิดสิ่งมีชีวิตอื่น ๆ กำเนิดตาม
1404,อุณหภูมิสูงสุด-ต่ำสุดในเทอร์มอมิเตอร์ใช้วัดไข้คืออะไร,ไม่สามารถบอกได้อย่างแน่นอน ขึ้นอยู่กับบริษัทผู้ผลิตเทอร์มอมิเตอร์
2700,ถ้าพรุ่งนี้มีเรียนแต่เช้าควรเตรียมตัวอย่างไรบ้าง,ขอแนะนำให้คุณเตรียมตัวให้พร้อม รีดผ้า จัดกระเป๋าเป้ของคุณให้พร้อม แล้วนอนไม่ดึก ตั้งนาฬิกาปลุก เพียงเท่านี้คุณก็พร้อมสำหรับการเรียนในตอนเช้าของวันพรุ่งนี้
1860,คนไทยมีความเชื่ออย่างไรเกี่ยวกับการเล่นหมากเก็บในเวลากลางคืน,คนไทยมีความเชื่อที่เล่าต่อกันมาว่า ห้ามเล่นหมากเก็บตอนกลางคืน เพราะเป็นการเอากระดูกปู่ย่ามาโยนทิ้งเล่น ที่มีความเชื่อแบบนี้เกิดขึ้นคาดเดากันว่าเกิดจากผู้ใหญ่ต้องการให้เด็กเลิกเล่นในเวลากลางคืน เพื่อให้เข้านอนได้เร็ว
411,ขับรถเหยียบน้ำกระเด็นใส่คนอื่นมีโทษความผิดทางกฎหมายอย่างไร,"พระราชบัญญัติจราจรทางบก พ.ศ. 2522 และที่แก้ไขเพิ่มเติม มาตรา 43 (8) ประกอบมาตรา 158/1 ผู้ใดขับรถในลักษณะที่เห็นได้ว่าไม่คำนึงถึงความปลอดภัยในชีวิตหรือร่างกายของผู้อื่นต้องระวางโทษจำคุก ไม่เกิน 1 ปี หรือปรับตั้งแต่ 5,000 บาท ถึง 20,000 บาท หรือทั้งจำทั้งปรับ และหากมีทรัพย์สินเสียหายจากการที่รถยนต์เหยียบน้ำกระเด็นใส่ คนขับจะเข้าข่ายความผิดตามประมวลกฎหมายอาญาฐานทำให้เสียทรัพย์ ตามมาตรา 358 ต้องระวางโทษจำคุกไม่เกิน 3 ปี หรือปรับไม่เกิน 60,000 บาท หรือ ทั้งจำทั้งปรับ
นอกจากนี้ผู้เสียหายสามารถเรียกร้องค่าเสียหายจากเจ้าของรถได้ หากทรัพย์สินเสียหายจากการที่รถเหยียบน้ำกระเด็นใส่ ทั้งนี้ ตามประมวลกฎหมายแพ่งและพาณิชย์มาตรา 438 กำหนดให้ ค่าสินไหมทดแทนจะพึงใช้โดยสถานใดเพียงใดนั้น ให้ศาลวินิจฉัยตามควรแก่พฤติกรรมและความร้ายแรงแห่งการละเมิด"
1221,ฮอร์โมนพืชต่างจากสารควบคุมการเจริญเติบโตอย่างไร,ฮอร์โมนพืชเป็นสารที่พืชผลิตได้เอง ส่วนสารควบคุมการเจริญเติบโตของพืช เป็นสารสังเคราะห์
1022,คิดคำคมเกี่ยวกับการใช้ชีวิตให้หน่อย,ชีวิตคือการต่อสู้ จงอย่ายอมแพ้ แม้ว่ามันจะยากลําบากเพียงใด บางครั้งเราอาจต้องยอมเสียสละบางอย่างเพื่อให้ได้มาซึ่งสิ่งที่เราต้องการ ใช้ชีวิตอย่างมีสติ มองโลกในแง่ดี และทําในสิ่งที่ถูกต้อง
1426,แก๊สอะไรที่ใช้ความดันสูงแล้วจะกลายเป็นของเหลว,แก๊สแทบทุกชนิด เมื่อมีความดันและอุณหภูมิที่เหมาะสม สามารถกลายเป็นของเหลวได้ทั้งนั้น ส่วนที่เว้นไว้ว่าแทบทุกชนิด นั่นก็เพราะว่าแก๊สบางชนิดกลายเป็นของแข็งเลย ไม่ผ่านของเหลวก่อน
1278,ผู้ที่พระราชทานนามใหม่ว่า พระปฐมเจดีย์ คือใคร,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว
246,"สร้างโปรแกรมที่เรียงลำดับรายการตัวเลขจากน้อยไปหามาก: [7, 3, 5, 10, 1]","```python
numbers = [7, 3, 5, 10, 1]
sorted_numbers = sorted(numbers)
print(sorted_numbers)
```"
685,"จากข้อความต่อไปให้ตอบคำถามด้วย ใช่/ไม่
ข้อความ: การไปอวกาศนั้นลำบาก เพราะไม่มีอากาศให้หายใจ ทำให้ไม่มีเสียงในอวกาศและไม่ได้ยินเสียง
คำถาม: เปิดเพลงในอวกาศจะได้ยินเสียงใช่หรือไม่",ไม่
1575,โลกเกิดจากอะไร,ทฤษฎีหนึ่งก็ว่าเป็นสะเก็ดลูกไฟที่เกิดขึ้นตอนสร้างระบบสุริยะ ทฤษฎีหนึ่งก็ว่าเป็นการรวมตัวของฝุ่นผงในอวกาศ แต่ถ้าไปถามคริสเตียนก็จะตอบว่าพระเจ้าสร้างโลก
3098,"นับจำนวนคำว่า ""คน"" ปรากฏในข้อความต่อไปนี้กี่ครั้ง:
คนดีอยู่ที่ไหน คนดีอยู่นี่ แล้วคนนั้นเขาทำอะไร","3 ครั้ง
เพราะจากข้อความ ""คนดีอยู่ที่ไหน คนดีอยู่นี่ แล้วคนนั้นเขาทำอะไร"" มีคำว่า ""คน"" ปรากฏอยู่จำนวน 3 ครั้ง"
810,อธิบายการสังเคราะห์แสงของพืชให้หน่อย ขอแบบง่าย ๆ,การสังเคราะห์แสงของพืช (photosynthesis) เกิดขึ้นคลอโรพลาสต์ในพืช โดยนำแก๊สคาร์บอนไดออกไซด์จากการหายใจของพืช น้ำ และแสงจากดวงอาทิตย์มาเปลี่ยนให้เป็นพลังงานให้กับพืช ผลที่ได้จากการสังเคราะห์แสงจะได้น้ำตาลและแก๊สออกซิเจน ออกมา โดยน้ำตาลที่ได้จะถูกนำไปกับกระบวนการหายใจของพืชต่อไป
557,"จงแปลข้อความต่อไปนี้จากภาษาไทยเป็นภาษาอังกฤษ:
คุณมีหนังสือพิมพ์ไหม",Do you have any newspaper?
2766,จริงหรือไม่ที่สื่อสังคมออนไลน์ทำให้เกิดการแตกแยกในสังคมมากขึ้น,จริง สื่อสังคมออนไลน์ทำให้เกิดความแตกแยก สร้างความเกลียดชังในสังคมมากขึ้น เนื่องจากผู้ให้บริการสื่อสังคมออนไลน์ต้องการให้ผู้คนอยู่กับบริการของตนให้นานที่สุด เพื่อที่จะสร้างรายได้จากการโฆษณาจึงใช้วิธีการต่าง ๆ ในการคัดกรองเนื้อหาที่ผู้ใช้บริการอาจจะสนใจ ไม่ว่าจะเป็นเรื่องความบันเทิง ข่าวสาร รวมถึงข่าวการเมืองที่อาจมีการใส่ป้ายสีกัน ข่าวปลอม และปัญหาการใส่ร้ายกันในสื่อออนไลน์ จากการที่สื่อสังคมออนไลน์คัดมาเฉพาะสื่อที่ผู้ใช้บริการสนใจ ทำให้ผู้ใช้บริการได้รับข้อมูลข่าวสารด้านเดียวที่อาจจะไม่ถูกต้อง ยกตัวอย่างเช่นกรณีเกิดเหตุฆาตกรรมในอินเดีย เพราะคนเชื่อข่าวปลอมเรื่องลักพาตัวเด็กที่แชร์ใน WhatsApp เมื่อปี ค.ศ. 2018 ที่มา https://www.blognone.com/node/103603 เป็นต้น
1562,วิวัฒนาการของมนุษย์อยู่ในยุคใด,"วิวัฒนาการของมนุษย์มีอยู่ในทุกยุค เพราะวิวัฒนาการไม่มีวันหยุด ร่างกาย อวัยวะทุกส่วนทำงานและมีการปรับตัวอยู่ตลอดเวลาเพื่อให้สามารถรักษาชีวิตใหอยู่รอดตามสภาพแวดล้อมที่มีการเปลี่ยนแปลงอยู่ตลอดเวลาเช่นกัน แต่เนื่องจากว่าวิวัฒนาการต้องใช้เวลายาวนานมาก ๆ อาจใช้เวลาหลายร้อยจนถึงหลายล้านปีเพื่อที่จะเห็นความแตกต่างของการเปลี่ยนแปลง ตลอดอายุไขของมนุษย์จึงอาจไม่เห็นการเปลี่ยนแปลงใด ๆ เกิดขึ้น แต่ถ้าเกิดการเปลี่ยนแปลงอย่างกะทันหันก็คงจะเรียกว่าการกลายพันธุ์ หลักฐานทางดีเอ็นเอระบุว่ามนุษย์น่าจะเริ่มต้นเมื่อประมาณ 200,000 ปีที่แล้วในแอฟริกา"
949,การรบครั้งแรกของไทย สมัยกรุงเทพฯ รบกับใคร ?,โปรดให้พระยานครสวรรค์เกณฑ์ทัพเขมรไปรบญวนไซ่ง่อนเมื่อ พ.ศ. ๒๓๒๖
2718,การที่นายกรัฐมนตรีไม่ได้มาจากพรรคที่ได้รับคะแนนจากการเลือกตั้งมากที่สุดถือเป็นเรื่องปกติของสังคมโลกไหม,ถือเป็นเรื่องปกติสำหรับประเทศที่ใช้ระบบรัฐสภาทั่วโลก พรรคที่ได้คะแนนเสียงมากที่สุดไม่ได้หมายความว่าจะได้เป็นฝ่ายจัดตั้งรัฐบาล หากไม่สามารถรวมเสียงข้างมากในรัฐสภาได้ และฝ่ายที่สามารถรวมเสียงข้างมากในรัฐสภาได้จะได้เป็นฝ่ายจัดตั้งรัฐบาลเป็นรัฐบาลผสม
1263,ทำไมถึงต้องตัดดาวพลูโตออกจากดาวเคราะห์ 8 ดวง,"อาจสรุปได้ว่า ดาวพลูโตมีลักษณะเป็น ""ดาวเคราะห์แคระ"" (หรือบางแหล่งข้อมูลก็อาจมองว่าเป็น ""ดาวเคราะห์น้อย"") มากกว่าที่จะเป็น ""ดาวเคราะห์""

นี่คือนิยมของดาวเคราะห์แคระ
- อยู่ในวงโคจรรอบดาวฤกษ์ แต่ตัวมันเองไม่ใช่ดาวฤกษ์
- มีมวลพอเพียงที่จะมีแรงโน้มถ่วงของตัวเอง เพื่อเอาชนะแรง rigid body forces ทำให้รูปทรงมีสมดุลไฮโดรสแตติก (เกือบเป็นทรงกลมสมบูรณ์)
- ไม่สามารถควบคุมแรงดึงดูดและวงโคจรของสิ่งต่าง ๆ ที่อยู่รอบวงโคจรของมัน
- ไม่ใช่ดวงจันทร์บริวาร
และนี่คือนิยามของดาวเคราะห์ 1. เป็นดาวที่โคจรรอบดาวฤกษ์ ซึ่งในที่นี้หมายถึงดวงอาทิตย์ แต่ไม่ใช่ดาวฤกษ์ และไม่ใช่ดวงจันทร์บริวาร 2. มีมวลมากพอที่จะมีแรงโน้มถ่วงดึงดูดตัวเองให้อยู่ในสภาวะสมดุลอุทกสถิต หรือรูปร่างใกล้เคียงกับทรงกลม 3. มีวงโคจรที่ชัดเจนและสอดคล้องกับดาวเคราะห์ข้างเคียง 4. มีขนาดเส้นผ่านศูนย์กลางอย่างน้อย 500 ไมล์ (804.63 กิโลเมตร) ซึ่งดาวพลูโตไม่ผ่านข้อ 3"
439,ผู้ที่ถูกแอบอ้างใช้ภาพหรือชื่อมาทำเฟซบุ๊กปลอม ควรทำอย่างไร,"1. ตั้งสติอย่าเพิ่งตระหนกตกใจ ทุกอย่างมีทางแก้
2. แจ้งความลงบันทึกประจำวัน ที่สถานีตำรวจท้องที่ที่เราอาศัยอยู่ในปัจจุบัน โดยให้แจ้งว่ามีคนใช้ชื่อ นามสกุล และรูปเราในเฟซบุ๊กอื่น โดยให้ระบุชื่อลิงก์เฟซบุ๊กของเราไว้ด้วย เพราะลิงก์ไม่สามารถใช้ซ้ำกันได้ www.facebook.com/ต่อด้วยชื่อลิงก์เฟซบุ๊กของเรา หากมีคนเจตนาไม่ดี นำชื่อเราไปแอบอ้าง อย่างน้อยเราก็ได้ลงบันทึกไว้แล้วว่าไม่ใช่ตัวเรา
3. ลองติดต่อเจ้าของเฟซบุ๊ก ที่นำภาพหรือชื่อเราไปใช้ โดยการแชทไปหา ถ้าไม่มีการตอบรับ ลองไปดูรูปหน้าไทม์ไลน์บนเฟซบุ๊กนั้น ดูข้อมูลต่าง ๆ เช่น ข้อมูลเพื่อน ๆ ของคนที่เอาชื่อเราไปใช้ที่มาคอมเมนต์รูป แล้วส่งข้อความไปหาหลาย ๆ คน เพื่อสอบถาม ด้วยวิธีการนี้อาจทำให้เราสามารถติดต่อเจ้าของเฟซบุ๊ก ที่แอบอ้างนำชื่อเราไปใช้ได้
4. ให้ตัวเราเองเป็นผู้รายงานไปยังเฟซบุ๊กว่ามีผู้แอบอ้างใช้ชื่อเรา โดยการไปที่หน้าเฟซบุ๊กของคนที่แอบอ้างเป็นชื่อเรา ซึ่งจะมีสัญลักษณ์จุดสามจุด หลังปุ่มข้อความ ให้คลิกไปที่ “รายงาน/บล็อก” จากนั้นให้เลือกที่ “ส่งรายงาน” เลือกไปที่“รายงานบัญชีผู้ใช้ของ” (ตรงนี้จะเป็นชื่อของเฟซบุ๊กที่อ้างว่าเป็นเรา), แล้วคลิก “ยืนยัน” จากนั้นเลือกที่หัวข้อ “ไทม์ไลน์นี้แอบอ้างว่าเป็นฉันหรือบุคคลที่ฉันรู้จัก” และเลือกที่หัวข้อ “แอบอ้างว่าเป็นฉัน” แล้วเลือก “ดำเนินการต่อ” เท่านี้ก็เสร็จสิ้นกระบวนการรายงาน"
